word	shaw	ipa	pos	var	confidence	notes
gorbachev	𐑜𐑹𐑚𐑩𐑗𐑪𐑓	ɡɔːRbətʃɒf	UNC	RSSB	89	shave_says:𐑜𐑹𐑚𐑭𐑗𐑴𐑓
gran	𐑜𐑮𐑨𐑯	ɡræn	UNC	RSSB	89	shave_says:𐑜𐑮𐑭𐑯
gui	𐑜𐑵𐑦	ɡˈuːi	UNC	RSSB	89	shave_says:𐑜𐑢𐑦
gunge	𐑜𐑳𐑯𐑡	ɡˈʌndʒ	UNC	RSSB	89	shave_says:𐑜𐑳𐑯𐑡𐑦
gzip	𐑡𐑰𐑟𐑦𐑐	dʒˈiːzˌɪp	UNC	RSSB	89	shave_says:gzip
happisburgh	𐑣𐑱𐑟𐑚𐑮𐑩	heɪzbrə	UNC	RSSB	89	shave_says:𐑣𐑨𐑐𐑦𐑕𐑚𐑼𐑩
helena	𐑣𐑧𐑤𐑩𐑯𐑩	hˈelənə	UNC	RSSB	89	shave_says:𐑣𐑧𐑤𐑧𐑯𐑩
henderson	𐑣𐑧𐑯𐑛𐑼𐑕𐑼𐑯	hendəRsəRn	UNC	RSSB	89	shave_says:𐑣𐑧𐑯𐑛𐑼𐑕𐑩𐑯
herpes	𐑣𐑻𐑐𐑦𐑟	hɜːRpiz	UNC	RSSB	89	shave_says:𐑣𐑻𐑐𐑰𐑟
herstmonceux	𐑣𐑻𐑕𐑥𐑩𐑯𐑟𐑵	hɜːRsmənzuː	UNC	RSSB	89	shave_says:𐑣𐑻𐑕𐑑𐑥𐑪𐑯𐑕𐑴
herstmonceux	𐑣𐑻𐑕𐑥𐑩𐑯𐑕𐑵	hɜːRsmənsuː	UNC	RSSB	89	shave_says:𐑣𐑻𐑕𐑑𐑥𐑪𐑯𐑕𐑴
homogenous	𐑣𐑩𐑥𐑪𐑡𐑦𐑯𐑩𐑕	həmˈɒdʒɪnəs	UNC	RSSB	89	shave_says:𐑣𐑴𐑥𐑪𐑡𐑩𐑯𐑩𐑕
homogenous	𐑣𐑪𐑥𐑩𐑡𐑰𐑯𐑾𐑕	hˌɒmədʒˈiːnɪəs	UNC	RSSB	89	shave_says:𐑣𐑴𐑥𐑪𐑡𐑩𐑯𐑩𐑕
homogenous	𐑣𐑴𐑥𐑩𐑡𐑰𐑯𐑾𐑕	hˌəʊmədʒˈiːnɪəs	UNC	RSSB	89	shave_says:𐑣𐑴𐑥𐑪𐑡𐑩𐑯𐑩𐑕
hough	𐑣𐑪𐑒	hˈɒk	UNC	RSSB	89	shave_says:𐑣𐑳𐑓
how-to	𐑣𐑬𐑑𐑵	hˈaʊtuː	UNC	RSSB	89	shave_says:𐑣𐑬-𐑑
hyundai	𐑣𐑲𐑵𐑯𐑛𐑲	haɪˈuːndaɪ	UNC	RSSB	89	shave_says:𐑣𐑳𐑯𐑛𐑱
hyundai	𐑣𐑘𐑳𐑯𐑛𐑱	hjˈʌndˌeɪ	UNC	RSSB	89	shave_says:𐑣𐑳𐑯𐑛𐑱
inflamation	𐑦𐑯𐑓𐑤𐑩𐑥𐑱𐑖𐑩𐑯	ɪnfləmˈeɪʃən	UNC	RSSB	89	shave_says:𐑦𐑯𐑓𐑤𐑱𐑥𐑱𐑖𐑩𐑯
inverclyde	𐑦𐑯𐑝𐑼𐑒𐑤𐑲𐑛	ɪnvəRklaɪd	UNC	RSSB	89	shave_says:inverclyde
islay	𐑲𐑤𐑱	ˈaɪlˌeɪ	UNC	RSSB	89	shave_says:𐑦𐑟𐑤𐑱
isleworth	𐑲𐑟𐑩𐑤𐑢𐑻𐑔	aɪzəlwɜːRθ	UNC	RSSB	89	shave_says:𐑲𐑤𐑢𐑼𐑔
julien	𐑡𐑵𐑤𐑾𐑯	dʒˈuːlɪən	UNC	RSSB	89	shave_says:𐑡𐑵𐑤𐑦𐑧𐑯
jus	𐑡𐑵	dʒˈuː	UNC	RSSB	89	shave_says:𐑠𐑵𐑕
jus	𐑡𐑳𐑕	dʒˈʌs	UNC	RSSB	89	shave_says:𐑠𐑵𐑕
kennedy	𐑒𐑧𐑯𐑦𐑛𐑦	kˈenɪdi	UNC	RSSB	89	shave_says:𐑒𐑧𐑯𐑩𐑛𐑦
kosovo	𐑒𐑪𐑕𐑩𐑝𐑴	kˈɒsəvəʊ	UNC	RSSB	89	shave_says:𐑒𐑴𐑕𐑴𐑝𐑴
ladyboy	𐑤𐑱𐑛𐑰𐑚𐑶	lˈeɪdiːbˌɔɪ	UNC	RSSB	89	shave_says:𐑤𐑱𐑛𐑦𐑚𐑶
laurent	𐑤𐑪𐑮𐑼𐑯𐑑	lɒrəRnt	UNC	RSSB	89	shave_says:𐑤𐑹𐑩𐑯𐑑
lichtenstein	𐑤𐑦𐑒𐑑𐑩𐑯𐑕𐑑𐑲𐑯	lˈɪktənstˌaɪn	UNC	RSSB	89	shave_says:𐑤𐑦𐑣𐑒𐑑𐑩𐑯𐑕𐑑𐑲𐑯
ljubliana	𐑤𐑿𐑚𐑤𐑘𐑭𐑯𐑩	ljˈuːbljˈɑːnə	UNC	RSSB	89	shave_says:𐑤𐑿𐑚𐑤𐑾𐑯𐑩
ljubliana	𐑤𐑵𐑚𐑤𐑘𐑭𐑯𐑩	lˈuːbljˈɑːnə	UNC	RSSB	89	shave_says:𐑤𐑿𐑚𐑤𐑾𐑯𐑩
lopez	𐑤𐑴𐑐𐑧𐑟	lˈəʊpez	UNC	RSSB	89	shave_says:𐑤𐑴𐑐𐑧𐑔
loughton	𐑤𐑬𐑑𐑩𐑯	lˈaʊtən	UNC	RSSB	89	shave_says:𐑤𐑪𐑣𐑒𐑑𐑩𐑯
lyn	𐑤𐑦𐑯	lˈɪn	UNC	RSSB	89	shave_says:·𐑤𐑦𐑯
macho	𐑥𐑨𐑗𐑴	mˈætʃəʊ	UNC	RSSB	89	shave_says:𐑥𐑭𐑗𐑴
maldives	𐑥𐑷𐑤𐑛𐑰𐑝𐑟	mˈɔːldiːvz	UNC	RSSB	89	shave_says:𐑥𐑭𐑤𐑛𐑰𐑝𐑟
mambo	𐑥𐑨𐑥𐑚𐑴	mˈæmbəʊ	UNC	RSSB	89	shave_says:𐑥𐑭𐑥𐑚𐑴
maneuvre	𐑥𐑩𐑯𐑵𐑝𐑼	mənuːvəR	UNC	RSSB	89	shave_says:maneuvre
