word	shaw	ipa	pos	var	confidence
-profen	𐑐𐑮𐑴𐑓𐑩𐑯	prəʊfən	UNC	RSSB	high
-prost	𐑐𐑮𐑪𐑕𐑑	prɒst	UNC	RSSB	high
-prost-	𐑐𐑮𐑪𐑕𐑑	prɒst	UNC	RSSB	high
-prostil	𐑐𐑮𐑪𐑕𐑑𐑦𐑤	prɒstɪl	UNC	RSSB	high
-ptile	𐑐𐑑𐑦𐑤	ptɪl	UNC	RSSB	high
-ptile	𐑐𐑑𐑲𐑤	ptaɪl	UNC	RSSB	high
-ptile	𐑐𐑑𐑳𐑦𐑤	ptʌɪl	UNC	RSSB	high
-quine	𐑒𐑢𐑦𐑯	kwɪn	UNC	RSSB	high
-quine	𐑒𐑢𐑰𐑯	kwiːn	UNC	RSSB	high
-renone	𐑮𐑩𐑯𐑴𐑯	rənəʊn	UNC	RSSB	high
-ress	𐑮𐑦𐑕	rɪs	UNC	RSSB	high
-ress	𐑮𐑩𐑕	rəs	UNC	RSSB	high
-retin	𐑮𐑧𐑑𐑦𐑯	retɪn	UNC	RSSB	high
-retin	𐑮𐑧𐑑𐑩𐑯	ˈretən	UNC	RGAM	high
-retin-	𐑮𐑧𐑑𐑦𐑯	retɪn	UNC	RSSB	high
-retin-	𐑮𐑧𐑑𐑩𐑯	ˈretən	UNC	RGAM	high
-rinone	𐑮𐑦𐑯𐑴𐑯	rɪnəʊn	UNC	RSSB	high
-rolimus	𐑮𐑴𐑤𐑦𐑥𐑩𐑕	rəʊlɪməs	UNC	RSSB	high
-rozole	𐑮𐑩𐑟𐑴𐑤	rəzəʊl	UNC	RSSB	high
-sartan	𐑕𐑸𐑑𐑨𐑯	sɑːRtæn	UNC	RSSB	high
-sartan	𐑕𐑸𐑑𐑩𐑯	ˈsɑːRtən	UNC	RGAM	high
-sartan	𐑕𐑸𐑑𐑼𐑯	sɑːRtəRn	UNC	RSSB	high
-semide	𐑕𐑦𐑥𐑳𐑦𐑛	sɪmʌɪd	UNC	RSSB	high
