type	word	pos	var	ipa	shaw_fragment	full_ipa	full_shaw	confidence
affix	-metasone	UNC	GenAm	ˈmetəˌsoʊn	𐑥𐑧𐑑𐑩𐑕𐑴𐑯			89
affix	-metasone	UNC	RSSB	ˈmetəzəʊn	𐑥𐑧𐑑𐑩𐑟𐑴𐑯			89
affix	-metasone	UNC	GenAm	ˈmetəˌzoʊn	𐑥𐑧𐑑𐑩𐑟𐑴𐑯			89
affix	-methasone	UNC	RSSB	ˈmeθəsəʊn	𐑥𐑧𐑔𐑩𐑕𐑴𐑯			89
affix	-methasone	UNC	GenAm	ˈmeθəˌsoʊn	𐑥𐑧𐑔𐑩𐑕𐑴𐑯			89
affix	-methasone	UNC	RSSB	ˈmeθəzəʊn	𐑥𐑧𐑔𐑩𐑟𐑴𐑯			89
affix	-methasone	UNC	GenAm	ˈmeθəˌzoʊn	𐑥𐑧𐑔𐑩𐑟𐑴𐑯			89
affix	-moder	UNC	RSSB	-moʊdəR	-𐑥𐑴𐑛𐑼	mɒdəR	𐑥𐑪𐑛𐑼	97
affix	-moder	UNC	GenAm	-moʊdər	-𐑥𐑴𐑛𐑼	ˈmɒdər	𐑥𐑪𐑛𐑼	97
affix	-morelin	UNC	RSSB	məʊrelɪn	𐑥𐑴𐑮𐑧𐑤𐑦𐑯			89
affix	-morelin	UNC	GenAm	moʊˈrelɪn	𐑥𐑴𐑮𐑧𐑤𐑦𐑯			89
affix	-morphy	UNC	RSSB	mɔːRfi	𐑥𐑹𐑓𐑦			89
affix	-navir	UNC	RSSB	nəvɪəR	𐑯𐑩𐑝𐑽			89
affix	-navir	UNC	GenAm	nəˌvɪr	𐑯𐑩𐑝𐑦𐑮			89
affix	-nercept	UNC	RSSB	nəRsept	𐑯𐑼𐑕𐑧𐑐𐑑			89
affix	-nercept	UNC	GenAm	nəRˌsept	𐑯𐑼𐑕𐑧𐑐𐑑			89
affix	-ness	UNC	RSSB	nəs	𐑯𐑩𐑕			89
affix	-ness	UNC	GenAm	nəs	𐑯𐑩𐑕			89
affix	-ness	UNC	GenAm	nes	𐑯𐑧𐑕			89
affix	-nicline	UNC	GenAm	nəklɪn	𐑯𐑩𐑒𐑤𐑦𐑯			89
affix	-nidazole	UNC	RSSB	ˈnʌɪdəzəʊl	𐑯𐑳𐑦𐑛𐑩𐑟𐑴𐑤			89
affix	-nidazole	UNC	GenAm	ˈnaɪdəˌzoʊl	𐑯𐑲𐑛𐑩𐑟𐑴𐑤			89
affix	-nidipine	UNC	RSSB	ˈnɪdɪpiːn	𐑯𐑦𐑛𐑦𐑐𐑰𐑯			89
affix	-nidipine	UNC	GenAm	ˈnɪdəˌpiːn	𐑯𐑦𐑛𐑩𐑐𐑰𐑯			89
affix	-o	UNC	RSSB	əʊ	𐑴	ˈəʊ	𐑴	89
affix	-o	UNC	GenAm	oʊ	𐑴	ˈoʊ	𐑴	89
affix	-odontia	UNC	RSSB	əˈdɒntɪə	𐑩𐑛𐑪𐑯𐑑𐑾			89
affix	-odontia	UNC	RSSB	əʊˈdɒntɪə	𐑴𐑛𐑪𐑯𐑑𐑾			89
affix	-odontia	UNC	GenAm	əˈdɒnʃə	𐑩𐑛𐑪𐑯𐑖𐑩			89
affix	-odontia	UNC	GenAm	əˈdɒntʃə	𐑩𐑛𐑪𐑯𐑗𐑩			89
affix	-odontia	UNC	GenAm	əˈdɒnʃiə	𐑩𐑛𐑪𐑯𐑖𐑦𐑩			89
affix	-odontia	UNC	GenAm	əˈdɒntʃiə	𐑩𐑛𐑪𐑯𐑗𐑦𐑩			89
affix	-oecious	UNC	RSSB	ˈiːʃəs	𐑰𐑖𐑩𐑕			89
affix	-oecious	UNC	GenAm	ˈiʃəs	𐑦𐑖𐑩𐑕			89
affix	-oi	UNC	RSSB	-ɔɪ	-𐑶	ɔɪ	𐑶	97
affix	-ol	UNC	RSSB	ɒl	𐑪𐑤			89
affix	-ol	UNC	GenAm	ɒl	𐑪𐑤			89
affix	-ology	UNC	RSSB	ˈɒlədʒi	𐑪𐑤𐑩𐑡𐑦	ˈɒlədʒɪ	𐑪𐑤𐑩𐑡𐑦	89
affix	-ology	UNC	GenAm	ˈɒlədʒi	𐑪𐑤𐑩𐑡𐑦	ˈɒlədʒi	𐑪𐑤𐑩𐑡𐑦	89
affix	-olol	UNC	RSSB	əlɒl	𐑩𐑤𐑪𐑤			89
affix	-olol	UNC	GenAm	əˌlɒl	𐑩𐑤𐑪𐑤			89
affix	-olone	UNC	RSSB	ələʊn	𐑩𐑤𐑴𐑯			89
affix	-olone	UNC	GenAm	əˌloʊn	𐑩𐑤𐑴𐑯			89
affix	-oma	UNC	RSSB	ˈəʊmə	𐑴𐑥𐑩			89
affix	-oma	UNC	GenAm	ˈoʊmə	𐑴𐑥𐑩			89
affix	-ome	UNC	RSSB	ˌəʊm	𐑴𐑥			89
affix	-ome	UNC	GenAm	ˌoʊm	𐑴𐑥			89
affix	-omino	UNC	RSSB	-ɒmɪnəʊ	-𐑪𐑥𐑦𐑯𐑴			97
affix	-omino	UNC	GenAm	-ɒməˌnoʊ	-𐑪𐑥𐑩𐑯𐑴			89
affix	-onidine	UNC	RSSB	ˈɒnɪdiːn	𐑪𐑯𐑦𐑛𐑰𐑯			89
affix	-onidine	UNC	GenAm	ˈɒnɪˌdin	𐑪𐑯𐑦𐑛𐑦𐑯			89
affix	-oon	UNC	RSSB	uːn	𐑵𐑯			89
affix	-opamine	UNC	RSSB	ˈəʊpəmiːn	𐑴𐑐𐑩𐑥𐑰𐑯			89
