word	pos	var	shaw	ipa	confidence	source	status	readlex_var	shaw_override	pos_override	var_override	verdict	notes
401(k)	NN1	GenAm	𐑓𐑹𐑴𐑢𐑳𐑯𐑒𐑱	fɔːRoʊwʌnkeɪ	10	wiktionary	new						numeral; shave_says:401(𐑒)
404	AJ0	RSSB	𐑓𐑹𐑴𐑓𐑹	ˈfɔːrəʊˌfɔːr	10	wiktionary	new						numeral; shave_says:404
404	NN1	RSSB	𐑓𐑹𐑴𐑓𐑹	ˈfɔːrəʊˌfɔːr	10	wiktionary	new						numeral; shave_says:404
404	VVI	RSSB	𐑓𐑹𐑴𐑓𐑹	ˈfɔːrəʊˌfɔːr	10	wiktionary	new						numeral; shave_says:404
404 page	NN1	GenAm	𐑓𐑹𐑴𐑓𐑹𐑐𐑱𐑡	ˌfɔːRoʊˈfɔːRpeɪdʒ	10	wiktionary	new						numeral; shave_says:404 𐑐𐑱𐑡
40k	NP0	GenAm	𐑓𐑹𐑑𐑦 𐑒𐑱	ˈfɔːRti keɪ	10	wiktionary	new						numeral; shave_says:40k
40k	NP0	RSSB	𐑓𐑷𐑑𐑰 𐑒𐑱	fɔːtiː keɪ	10	wiktionary	new						numeral; shave_says:40k
40k	NP0	RSSB	𐑓𐑷𐑑𐑦 𐑒𐑱	ˈfɔːti keɪ	10	wiktionary	new						numeral; shave_says:40k
470	NN1	GenAm	𐑓𐑹𐑕𐑧𐑝𐑩𐑯𐑑𐑦	ˌfɔːRˈsevənti	10	wiktionary	new						numeral; shave_says:470
470	NN1	RSSB	𐑓𐑷𐑕𐑧𐑝𐑦𐑯𐑑𐑦	ˌfɔːˈsevɪnti	10	wiktionary	new						numeral; shave_says:470
4tran	NP0	GenAm	𐑓𐑹𐑑𐑮𐑨𐑯	ˈfɔːRtræn	10	wiktionary	new						numeral; shave_says:4tran
4tran	NP0	RSSB	𐑓𐑷𐑑𐑮𐑨𐑯	fɔːtræn	10	wiktionary	new						numeral; shave_says:4tran
