word	our_shaw	our_ipa	var	confidence	readlex_shaw	readlex_ipa	notes
incurable	𐑦𐑯𐑒𐑘𐑩𐑼𐑩𐑚𐑤	ɪnkjəərəbl	RRP	5	𐑦𐑯𐑒𐑘𐑫𐑼𐑩𐑚𐑩𐑤	ɪnˈkjʊərəbəl	ml_disagrees:𐑦𐑯𐑒𐑘𐑫𐑼𐑩𐑚𐑤; shave_says:𐑦𐑯𐑒𐑘𐑫𐑼𐑩𐑚𐑩𐑤
intangible	𐑦𐑯𐑑𐑨𐑯𐑡𐑦𐑚𐑤	ɪnˈtandʒɪbl	RRP	5	𐑦𐑯𐑑𐑨𐑯𐑡𐑩𐑚𐑩𐑤	ɪnˈtændʒəbəl	ml_disagrees:𐑦𐑯𐑑𐑨𐑯𐑡𐑩𐑚𐑤; shave_says:𐑦𐑯𐑑𐑨𐑯𐑡𐑩𐑚𐑩𐑤
intellectual	𐑦𐑯𐑑𐑩𐑤𐑧𐑒𐑖𐑫𐑼𐑤	ˌɪntəˈlekʃʊəl	RRP	5	𐑦𐑯𐑑𐑩𐑤𐑧𐑒𐑗𐑫𐑩𐑤	ˌɪntəˈlektʃuəl	ml_disagrees:𐑦𐑯𐑑𐑩𐑤𐑧𐑒𐑖𐑫𐑩𐑤; shave_says:𐑦𐑯𐑑𐑩𐑤𐑧𐑒𐑗𐑫𐑩𐑤
interior	𐑦𐑯𐑑𐑽𐑰𐑼	ɪntɪəriːəR	RRP	5	𐑦𐑯𐑑𐑽𐑽	ɪnˈtɪərɪəR	ml_disagrees:𐑦𐑯𐑑𐑽𐑦ː𐑼; shave_says:𐑦𐑯𐑑𐑽𐑽
korea	𐑒𐑼𐑰𐑩	kəriːə	RRP	5	𐑒𐑼𐑾	kəˈrɪə	ml_disagrees:𐑒𐑼𐑦ː𐑩; shave_says:𐑒𐑼𐑾
neural	𐑯𐑘𐑩𐑼𐑼𐑤	njəərəRl	RRP	5	𐑯𐑘𐑫𐑼𐑩𐑤	ˈnjʊərəl	ml_disagrees:𐑯𐑘𐑫𐑼𐑼𐑤; shave_says:𐑯𐑘𐑫𐑼𐑩𐑤
neurasthenia	𐑯𐑘𐑩𐑼𐑼𐑕𐑔𐑰𐑯𐑦𐑩	njəərəRsθiːniə	RRP	5	𐑯𐑘𐑫𐑼𐑩𐑕𐑔𐑰𐑯𐑾	ˌnjʊərəsˈθiːnɪə	ml_disagrees:𐑯𐑘𐑫𐑼𐑼𐑕𐑔𐑰𐑯𐑦𐑩; shave_says:𐑯𐑘𐑫𐑼𐑩𐑕𐑔𐑰𐑯𐑾
neurasthenic	𐑯𐑘𐑩𐑼𐑼𐑕𐑔𐑧𐑯𐑦𐑒	njəərəRsθenɪk	RRP	5	𐑯𐑘𐑫𐑼𐑩𐑕𐑔𐑧𐑯𐑦𐑒	ˌnjʊərəsˈθenɪk	ml_disagrees:𐑯𐑘𐑫𐑼𐑼𐑕𐑔𐑧𐑯𐑦𐑒; shave_says:𐑯𐑘𐑫𐑼𐑩𐑕𐑔𐑧𐑯𐑦𐑒
overture	𐑴𐑝𐑼𐑑𐑘𐑩𐑼	əʊvəRtjəəR	RRP	5	𐑴𐑝𐑼𐑗𐑫𐑼	ˈəʊvəRtʃʊəR	ml_disagrees:𐑴𐑝𐑼𐑑𐑘ː𐑼; shave_says:𐑴𐑝𐑼𐑗𐑫𐑼
pantograph	𐑐𐑨𐑯𐑑𐑩𐑜𐑮𐑭𐑓	pantəɡrɑːf	RRP	5	𐑐𐑨𐑯𐑑𐑩𐑜𐑮𐑨𐑓	ˈpæntəɡræf	ml_disagrees:𐑐𐑨𐑯𐑑𐑩𐑜𐑮ɑ𐑨𐑓; shave_says:[𐑐𐑨𐑯𐑑𐑩𐑜𐑮𐑨𐑓 / 𐑐𐑨𐑯𐑑𐑩𐑜𐑮𐑭𐑓]
